Date
2014-11-21,2985,784,1175,432,0,0,0
2014-11-20,2986,783,1175,434,0,0,0
2014-11-19,2985,778,1170,434,0,0,0
2014-11-18,2984,771,1166,437,0,0,0
2014-11-17,2983,759,1160,445,5,1,0
2014-11-16,2982,752,1154,447,5,1,0
2014-11-15,2981,751,1154,448,5,1,0
2014-11-14,2981,747,1152,450,5,1,0
2014-11-13,2982,737,1146,455,5,1,0
2014-11-12,2982,731,1142,457,5,1,0
2014-11-11,2982,726,1139,459,5,1,0
2014-11-10,2982,723,1135,459,5,1,0
2014-11-09,2979,714,1128,461,5,1,0
2014-11-08,2979,709,1126,464,5,1,0
2014-11-07,2979,699,1119,467,5,1,0
2014-11-06,2978,692,1114,469,5,1,0
2014-11-05,2975,684,1109,472,5,1,0
2014-11-04,2974,670,1099,475,5,1,0
2014-11-03,2974,667,1098,477,5,1,0
2014-11-02,2971,648,1090,490,5,1,0
2014-11-01,2968,636,1083,494,5,1,0
2014-10-31,2968,621,1081,508,5,1,0
2014-10-30,2965,610,1077,513,5,1,0
2014-10-29,2964,603,1074,518,5,1,0
2014-10-28,2964,597,1072,524,5,1,0
2014-10-27,2962,586,1066,530,5,1,0
2014-10-26,2960,576,1060,536,5,1,0
2014-10-25,2947,564,1056,543,2,0,0
2014-10-24,2947,561,1055,545,2,0,0
2014-10-23,2946,554,1054,551,2,0,0
2014-10-22,2945,516,1036,571,2,0,0
2014-10-21,2943,390,997,659,2,0,0
2014-10-20,2939,265,987,776,2,0,0
2014-10-19,2939,103,1012,932,2,0,0
2014-10-18,2938,29,1007,993,2,0,0
2014-10-17,2938,27,1007,995,2,0,0
2014-10-16,2937,13,1005,993,2,0,0
2014-10-15,2937,13,1001,989,2,0,0
2014-10-14,2937,14,1001,989,2,0,0
2014-10-13,2936,14,1001,989,2,0,0
2014-10-12,2935,14,998,986,2,0,0
2014-10-11,2935,14,997,985,2,0,0
2014-10-10,2932,14,995,983,2,0,0
2014-10-09,2931,14,993,981,2,0,0
2014-10-08,2931,14,991,979,2,0,0
2014-10-07,2931,14,988,976,2,0,0
2014-10-06,2932,14,987,976,2,0,0
2014-10-05,2926,0,970,960,2,0,0
2014-10-04,2926,0,969,960,2,0,0
2014-10-03,2926,0,967,958,2,0,0
2014-10-02,2925,0,965,956,2,0,0
2014-10-01,2925,0,962,953,2,0,0
2014-09-30,2919,0,957,948,2,0,0
2014-09-29,2917,0,955,946,2,0,0
2014-09-28,2913,0,948,939,2,0,0
2014-09-27,2915,0,948,939,2,0,0
2014-09-26,2914,0,935,926,2,0,0
2014-09-25,2913,0,933,924,2,0,0
2014-09-24,2912,0,932,923,2,0,0
2014-09-23,2913,0,932,923,2,0,0
2014-09-22,2913,0,929,919,2,0,0
2014-09-21,2913,0,928,919,2,0,0
2014-09-20,2912,0,927,918,2,0,0
2014-09-19,2912,0,924,915,2,0,0
2014-09-18,2912,0,924,915,2,0,0
2014-09-17,2910,0,921,912,2,0,0
2014-09-16,2910,0,920,911,2,0,0
2014-09-15,2909,0,920,911,2,0,0
2014-09-14,2908,0,917,908,2,0,0
2014-09-13,2908,0,916,907,2,0,0
2014-09-12,2908,0,916,907,2,0,0
2014-09-11,2908,0,916,907,2,0,0
2014-09-10,2907,0,915,906,2,0,0
2014-09-09,2903,0,909,900,2,0,0
2014-09-08,2902,0,904,895,2,0,0
2014-09-07,2902,0,903,894,2,0,0
2014-09-06,2903,0,903,894,2,0,0
2014-09-05,2903,0,903,894,2,0,0
2014-09-04,2903,0,902,893,2,0,0
2014-09-03,2902,0,902,893,2,0,0
2014-09-02,2902,0,902,893,2,0,0
2014-09-01,2901,0,899,890,2,0,0
2014-08-31,2900,0,898,889,2,0,0
2014-08-30,2900,0,896,887,2,0,0
2014-08-29,2897,0,886,877,2,0,0
2014-08-28,2899,0,888,879,2,0,0
2014-08-27,2896,0,885,875,2,0,0
2014-08-26,2896,0,882,872,2,0,0
2014-08-25,2894,0,878,868,2,0,0
2014-08-24,2893,0,876,868,2,0,0
2014-08-23,2890,0,852,843,2,0,0
2014-08-22,2890,0,852,843,2,0,0
2014-08-21,2889,0,850,841,2,0,0
2014-08-20,2883,0,831,822,2,0,0
2014-08-19,2884,0,828,819,2,0,0
2014-08-18,2884,0,826,817,2,0,0
2014-08-17,2883,0,825,816,2,0,0
2014-08-16,2883,0,823,814,2,0,0
2014-08-15,2881,0,820,811,2,0,0
2014-08-14,2881,0,819,810,2,0,0
2014-08-13,2880,0,818,809,2,0,0
2014-08-12,2879,0,816,807,2,0,0
2014-08-11,2878,0,814,805,2,0,0
2014-08-10,2878,0,814,805,2,0,0
2014-08-09,2879,0,813,804,2,0,0
2014-08-08,2879,0,813,804,2,0,0
2014-08-07,2877,0,807,797,2,0,0
2014-08-06,2877,0,796,786,2,0,0
2014-08-05,2875,0,794,784,2,0,0
2014-08-04,2875,0,791,781,2,0,0
2014-08-03,2874,0,788,778,2,0,0
2014-08-02,2874,0,788,778,2,0,0
2014-08-01,2874,0,788,778,2,0,0
